20230103 034200;11024.5;11025.25;11021.25;11022.25;173
20230103 034300;11022.25;11025;11022.25;11022.75;158
20230103 034400;11023;11028;11022.5;11028;287
20230103 034500;11027.75;11028;11024.75;11025;180
20230103 034600;11025;11031.75;11024.75;11029.5;378
20230103 034700;11029.5;11031;11027.75;11028.5;198
20230103 034800;11028.5;11031;11028.25;11030.75;115
20230103 034900;11030.25;11033.75;11030.25;11032.5;290
20230103 035000;11032.25;11033.75;11031.5;11032.25;255
20230103 035100;11031.75;11032.75;11030.25;11032.25;123
20230103 035200;11032;11032.75;11030;11030.5;176
20230103 035300;11030.5;11031.5;11029.5;11029.5;141
20230103 035400;11029.75;11030.75;11027.75;11029.75;142
20230103 035500;11030.25;11033;11030;11033;155
20230103 035600;11033;11035;11031.75;11035;127
20230103 035700;11034.5;11035;11031.5;11033.25;197
20230103 035800;11033;11033.25;11030.75;11030.75;88
20230103 035900;11031;11033.5;11031;11033.25;85
20230103 040000;11033.25;11033.5;11032;11033.25;88
20230103 040100;11033.5;11035;11033;11033.5;161
20230103 040200;11033;11037.5;11032.75;11036.25;318
20230103 040300;11036.25;11036.75;11033.25;11033.75;139
20230103 040400;11033.75;11035.75;11032;11032;148
20230103 040500;11032.25;11033;11029.5;11030.5;160
20230103 040600;11030.5;11033.75;11030.5;11032.75;108
20230103 040700;11032.5;11033.5;11031.25;11031.5;92
20230103 040800;11031.25;11031.5;11025.5;11026.25;388
20230103 040900;11026;11028;11024.25;11025;370
20230103 041000;11025;11025.5;11024;11024.25;139
20230103 041100;11024.75;11026.75;11024.5;11026.25;145
20230103 041200;11026.25;11028.5;11025.5;11026.75;152
20230103 041300;11027;11027.25;11024.75;11025.75;120
20230103 041400;11025.75;11027.25;11025.75;11026.5;84
20230103 041500;11026.75;11028;11026.75;11027.75;88
20230103 041600;11027.5;11030.5;11027.5;11028.5;190
20230103 041700;11028.75;11030;11028.5;11030;59
20230103 041800;11029.75;11029.75;11027.5;11028.75;83
20230103 041900;11029;11029;11026.5;11028;97
20230103 042000;11027.5;11031.25;11027.5;11031.25;107
20230103 042100;11030.5;11033.25;11030.5;11031.25;360
20230103 042200;11031;11031.25;11029.25;11031.25;91
20230103 042300;11031.5;11031.75;11029.75;11030.25;51
20230103 042400;11030.5;11030.5;11029.25;11030;25
20230103 042500;11029.75;11030.25;11029.5;11030;36
20230103 042600;11030.25;11031.25;11029.75;11031.25;43
20230103 042700;11031;11033.5;11031;11031.5;153
20230103 042800;11031;11031.25;11029.75;11030;52
20230103 042900;11030;11031.25;11029;11030.5;89
20230103 043000;11030;11032;11029.75;11031.75;84
20230103 043100;11032;11034;11031.25;11031.75;129
20230103 043200;11031.75;11032.75;11029.5;11031;133
20230103 043300;11031.5;11033;11031.25;11032.5;57
20230103 043400;11032.25;11032.25;11031.25;11031.75;38
20230103 043500;11031;11031.5;11031;11031.25;22
20230103 043600;11031;11031.5;11027.75;11027.75;176
20230103 043700;11027.75;11031.75;11027.5;11030.25;122
20230103 043800;11030.25;11031.75;11030.25;11031.75;66
20230103 043900;11032;11033;11031.75;11032.5;125
20230103 044000;11032.5;11034.75;11031.75;11032;161
20230103 044100;11031.75;11031.75;11027.5;11028.75;144
20230103 044200;11028.5;11030.25;11027;11027.75;150
20230103 044300;11028.25;11029.25;11027.5;11028;89
20230103 044400;11028.25;11029.5;11028.25;11029;32
20230103 044500;11028.75;11029.25;11027.5;11028;57
20230103 044600;11028;11029.75;11027.75;11028;56
20230103 044700;11028;11029;11027.75;11028;64
20230103 044800;11028.25;11028.75;11027.5;11028;31
20230103 044900;11028.25;11030;11028;11028.5;76
20230103 045000;11028.25;11028.25;11025.25;11027;204
