"id","barcode","id","name","standard_price","uom_id","default_code","qty_available","categ_id","sale_ok","purchase_ok","available_in_pos","description","seller_ids/company_id","seller_ids/price","base_unit_id","seller_ids/product_uom_id/name","seller_ids/min_qty","seller_ids/company_id/id","seller_ids/company_id/name"
"__export__.product_template_1230_399aed91","","__export__.product_template_1230_399aed91","Dip Ajo Culantro 8 Oz.","0.0","Unidades","DIP-004","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
"__export__.product_template_1232_5e098c60","","__export__.product_template_1232_5e098c60","Dip Guayaba 2 Oz.","0.0","Unidades","DIP-003","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
"__export__.product_template_1234_67c89901","","__export__.product_template_1234_67c89901","Dip Guayaba 8 Oz. ","0.0","Unidades","DIP-006","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
"__export__.product_template_1231_2c8aec0b","","__export__.product_template_1231_2c8aec0b","Dip Tapa Dulce 2 Oz.","0.0","Unidades","DIP-002","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
"__export__.product_template_1233_225954f3","","__export__.product_template_1233_225954f3","Dip Tapa Dulce 8 Oz. ","0.0","Unidades","DIP-005","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
"__export__.product_template_1211_fe9be9fc","","__export__.product_template_1211_fe9be9fc","Empanada Carne Mechada","0.0","Unidades","E-004","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1212_bff65f22","","__export__.product_template_1212_bff65f22","Empanada Carne Molida","0.0","Unidades","E-005","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1209_c01e6df3","","__export__.product_template_1209_c01e6df3","Empanada Cazón","0.0","Unidades","E-002","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1208_b3fa6e0b","","__export__.product_template_1208_b3fa6e0b","Empanada Pabellón","0.0","Unidades","E-001","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1214_15a1955f","","__export__.product_template_1214_15a1955f","Empanada Plátano Queso","0.0","Unidades","E-007","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1210_7f613c10","","__export__.product_template_1210_7f613c10","Empanada Pollo Mechado","0.0","Unidades","E-003","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1213_4ce4cf33","","__export__.product_template_1213_4ce4cf33","Empanada Queso Blanco","0.0","Unidades","E-006","0.0","TODOS LOS PRODUCTOS / COMIDA / EMPANADAS","True","True","","","","","","","","",""
"__export__.product_template_1144_9cb17722","UTS472","__export__.product_template_1144_9cb17722","Espatula plástica 14# Winco 1/2un","3140.0","Unidades","M1003","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Insumos de aseo y limpieza</p>","Pablo Pereira Magnere","3140.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
