ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
Alquiler Local,3%,3%,3%,3%,3%,3%,3%,3%,2%,3%,3%,2%,3%,,,,,,
Servicios Publicos (Punto de Venta),2%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,1%,2%,,,,,,
Mantenimiento Local,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,,,,,,
Depreciacion Equipos,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,,,,,,
TOTAL COSTO DE VENTA,47%,44%,47%,44%,47%,42%,45%,39%,39%,46%,44%,33%,42%,,,,,,
,,,,,,,,,,,,,,,,,,,
UTILIDAD BRUTA,53%,56%,53%,56%,53%,58%,55%,61%,61%,54%,56%,67%,58%,,,,,,
Margen Bruto %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS OPERATIVOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS ADMINISTRATIVOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Nomina Administrativa (Gerencia),23%,21%,22%,20%,22%,18%,21%,16%,16%,22%,20%,11%,19%,,Potencialmente alto para un solo local,,,,
Cargas Sociales (CCSS + INS),4%,4%,4%,4%,4%,5%,4%,3%,3%,4%,4%,3%,4%,,,,,,
Contabilidad y Legal,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,,,,,,
Servicios Publicos (Admin),2%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,1%,2%,,,,,,
Subtotal Gastos Administrativos,29%,27%,28%,26%,29%,24%,27%,22%,21%,28%,26%,16%,24%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS DE VENTAS,,,,,,,,,,,,,,,,,,,
Delivery y Comisiones (Uber + Banco),1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,,,,,,
Subtotal Gastos de Ventas,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS DE MERCADEO,,,,,,,,,,,,,,,,,,,
