Period,Time Increment,Sales,Orders,Ticket Size,Currency Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,marzo," ?4,821,150.00 ",362,"13,318.09",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,abril," ?3,818,350.00 ",276,"13,834.60",CRC,,,,,,,,,,,,,10503313.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,mayo," ?4,491,400.00 ",300,"14,971.33",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Octubre," ?6,358,516.42 ",,Tiquete promedio local," ?25,854.88 "," ?29,659.27 "," ?39,211.90 "," ?41,105.20 "," ?36,934.36 "," ?38,192.95 "," ?38,399.36 "," ?38,679.20 "," ?48,985.46 "," ?39,146.54 "," ?49,356.25 "," ?55,913.15 ","?40,119.87",,Tiquete promedio local," ?40,119.87 "," ?42,597.81 ",6 % aumento,,,,,,1-Dec,"?5,043,949.38","?3,697,017.27",,,,,,,,
,,,,,,,,,Noviembre," ?9,201,101.91 ",,Tiquete promedio Uber Eats,,,,,,,,,,,,,"?14,921.45",,Tiquete promedio Uber," ?14,921.45 "," ?15,326.35 ",2.7 % aumento,,,,,,total,,"?8,740,966.65",,,,,,,,
,,,,,,,,,Diciembre," ?9,105,560.85 ",,,,,,,,,,,,,,,,,,,,,,,,,,tiq pronedio local,,"?53,094.20",,,,,,,,
,,,,,,,,,Total ," ?75,303,912.23 ",,Tiquete promedio local,"?30,902.95","?39,855.40","?40,398.43","?31,480.39","?40,381.67","?40,803.58","?44,670.34","?41,845.60","?55,027.05","?45,561.60","?53,094.20","?47,152.44","?42,597.81",,Venta bruta local," ?36,751,232.82 "," ?35,570,503.28 ", 3.3 % decrec. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tiquete promedio Uber Eats,"?14,793.31","?14,850.64","?15,512.50","?14,669.42","?15,300.62","?15,032.85","?14,851.11","?15,091.50","?16,371.90","?15,215.09","?15,513.13","?15,765.07","?15,326.35",,Venta bruta Uber," ?38,552,679.41 "," ?48,048,707.43 ",25 % aumento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ingresos," ?75,303,912.23 "," ?83,619,210.71 ",11 % aumento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Junio 2024,Julio 2024,Agosto 2024,Septiembre 2024,Octubre 2024,Noviembre 2024,Diciembre 2024,Enero 2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ingresos x Ventas en local,"?2,008,691.88","?2,431,179.61","?2,747,092.92","?2,172,146.91","?2,544,045.30","?2,407,411.38","?2,858,901.63","?2,719,964.12","?4,127,028.85","?3,963,859.29","?5,043,949.38","?2,546,232.01","?35,570,503.28",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ingresos x Ventas en Uber Eats,"?3,973,820.19","?4,002,983.16","?3,565,800.03","?4,675,318.95","?3,854,462.16","?3,955,636.11","?3,552,019.67","?3,628,752.92","?4,613,937.60","?4,435,639.15","?3,697,017.27","?4,093,320.22","?48,048,707.43",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AÑO 2024,Total Ingresos x Ventas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Febrero," ?5,982,512.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Marzo ," ?6,434,162.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Abril ," ?6,312,892.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mayo," ?6,847,465.86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Junio," ?6,398,507.46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Julio," ?6,363,047.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Agosto," ?6,410,921.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Septiembre," ?6,348,717.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Octubre," ?8,740,966.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Noviembre," ?8,399,498.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Diciembre," ?8,740,966.65 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Enero 2025," ?6,639,552.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total ," ?83,619,210.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
